subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,name,list,tType_study,trial_test,item_test,pair_test,tType_test,name_test,roboBCFS_1,roboBCFS_2,gonogo_answer,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_cue,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,meanRoboRT_1,meanRoboRT_2,response_cue,rt_cue,RoboRT_cue,meanRoboRT_cue,response_noise,rt_noise,RoboRT_noise,meanRoboRT_noise
199,1109047867,43,NaN,NaN,NaN,NaN,EMPTY,EMPTY,2,8,,,NaN,NaN,76,113,thimble,4,Binocular,47,98,78,CFS,scarf,z,z,go,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,6,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,44,NaN,NaN,NaN,NaN,EMPTY,EMPTY,7,3,,,NaN,NaN,98,78,scarf,4,Binocular,43,129,166,Binocular,knot,z,z,go,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,10,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,45,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,45,165,cutting board,4,Not Studied,45,45,165,CFS,cutting board,f,f,nogo,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,5,5,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,46,NaN,NaN,NaN,NaN,EMPTY,EMPTY,6,2,,,NaN,NaN,6,3,tub,4,CFS,46,6,3,Binocular,tub,j,j,nogo,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,7,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,47,NaN,NaN,NaN,NaN,EMPTY,EMPTY,8,6,,,NaN,NaN,40,88,cookie cutter,4,CFS,48,76,113,CFS,thimble,j,j,go,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,3,9,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,48,NaN,NaN,NaN,NaN,EMPTY,EMPTY,7,2,,,NaN,NaN,11,103,bib,4,Binocular,41,40,88,CFS,cookie cutter,z,z,go,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,1,0,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,49,NaN,NaN,NaN,NaN,EMPTY,EMPTY,5,7,,,NaN,NaN,118,115,pillow,5,Binocular,49,118,115,Not Studied,pillow,z,z,go,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,3,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,50,NaN,NaN,NaN,NaN,EMPTY,EMPTY,3,0,,,NaN,NaN,31,47,cell phone,5,CFS,59,68,73,Binocular,vase,j,j,go,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,8,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,51,NaN,NaN,NaN,NaN,EMPTY,EMPTY,9,7,,,NaN,NaN,143,128,high heel,5,CFS,55,97,151,Not Studied,scissors,j,j,go,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,9,10,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,52,NaN,NaN,NaN,NaN,EMPTY,EMPTY,4,3,,,NaN,NaN,97,151,scissors,5,CFS,51,123,62,Binocular,helmet,j,j,go,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,1,7,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,53,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,66,95,wallet,5,Not Studied,53,66,95,Not Studied,wallet,f,f,go,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,3,10,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,54,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,141,155,purse,5,Not Studied,57,69,30,Not Studied,umbrella,f,f,nogo,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,6,1,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,55,NaN,NaN,NaN,NaN,EMPTY,EMPTY,9,8,,,NaN,NaN,68,73,vase,5,CFS,50,143,128,CFS,high heel,j,j,go,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,8,3,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,56,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,1,,,NaN,NaN,69,30,umbrella,5,Binocular,54,33,157,Binocular,office chair,z,z,go,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,7,1,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,57,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,14,139,binoculars,5,Not Studied,58,141,155,CFS,purse,f,f,nogo,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,5,10,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,58,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,123,62,helmet,5,Not Studied,52,14,139,Binocular,binoculars,f,f,nogo,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,3,1,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,59,NaN,NaN,NaN,NaN,EMPTY,EMPTY,6,8,,,NaN,NaN,8,153,bed,5,Binocular,60,31,47,CFS,cell phone,z,z,go,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,3,3,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,60,NaN,NaN,NaN,NaN,EMPTY,EMPTY,3,1,,,NaN,NaN,33,157,office chair,5,Binocular,56,8,153,CFS,bed,z,z,go,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,4,4,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,61,NaN,NaN,NaN,NaN,EMPTY,EMPTY,2,8,,,NaN,NaN,113,76,radio,6,CFS,62,140,144,Not Studied,hammer,j,j,go,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,9,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,62,NaN,NaN,NaN,NaN,EMPTY,EMPTY,10,0,,,NaN,NaN,103,11,rug,6,CFS,72,113,76,Binocular,radio,j,j,go,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,3,5,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,63,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,25,85,calculator,6,Not Studied,67,111,125,Not Studied,kid toy,f,f,go,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,10,2,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,64,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,3,6,balloon,6,Not Studied,68,131,174,Binocular,glove,f,f,go,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,7,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,65,NaN,NaN,NaN,NaN,EMPTY,EMPTY,1,8,,,NaN,NaN,146,147,hinge,6,CFS,65,146,147,Not Studied,hinge,j,j,go,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,10,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,66,NaN,NaN,NaN,NaN,EMPTY,EMPTY,6,7,,,NaN,NaN,102,110,saddle,6,Binocular,71,137,28,Not Studied,flask,z,z,nogo,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,10,6,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,67,NaN,NaN,NaN,NaN,EMPTY,EMPTY,8,4,,,NaN,NaN,111,125,kid toy,6,Binocular,63,25,85,CFS,calculator,z,z,go,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,10,3,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,68,NaN,NaN,NaN,NaN,EMPTY,EMPTY,6,3,,,NaN,NaN,131,174,glove,6,CFS,64,3,6,Binocular,balloon,j,j,go,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,9,10,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,69,NaN,NaN,NaN,NaN,EMPTY,EMPTY,3,10,,,NaN,NaN,140,144,hammer,6,Binocular,61,44,43,CFS,crib,z,z,nogo,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,2,10,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,70,NaN,NaN,NaN,NaN,EMPTY,EMPTY,2,3,,,NaN,NaN,137,28,flask,6,Binocular,66,57,90,Binocular,computer drive,z,z,nogo,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,3,1,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,71,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,57,90,computer drive,6,Not Studied,70,102,110,CFS,saddle,f,f,go,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,2,2,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,72,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,44,43,crib,6,Not Studied,69,103,11,CFS,rug,f,f,go,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,9,7,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,73,NaN,NaN,NaN,NaN,EMPTY,EMPTY,1,5,,,NaN,NaN,72,89,blanket,7,CFS,77,133,192,Not Studied,guitar,j,j,go,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,4,5,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,74,NaN,NaN,NaN,NaN,EMPTY,EMPTY,9,2,,,NaN,NaN,139,14,bobby pin,7,Binocular,84,43,44,Binocular,crayon,z,z,go,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,10,1,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,75,NaN,NaN,NaN,NaN,EMPTY,EMPTY,10,0,,,NaN,NaN,15,145,boat,7,CFS,81,86,29,Not Studied,steering wheel,j,j,go,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,8,8,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,76,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,86,29,steering wheel,7,Not Studied,75,58,74,Binocular,cd,f,f,go,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,10,5,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,77,NaN,NaN,NaN,NaN,EMPTY,EMPTY,10,0,,,NaN,NaN,58,74,cd,7,Binocular,76,72,89,Not Studied,blanket,z,z,go,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,5,9,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,78,NaN,NaN,NaN,NaN,EMPTY,EMPTY,9,4,,,NaN,NaN,60,191,ethernet cable,7,Binocular,82,64,107,Not Studied,watch,z,z,nogo,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,9,4,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,79,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,4,,,NaN,NaN,64,107,watch,7,CFS,78,126,167,CFS,stove,j,j,go,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,9,10,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,80,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,133,192,guitar,7,Not Studied,73,89,72,Binocular,sponge,f,f,go,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,5,8,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,81,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,26,52,camera,7,Not Studied,83,15,145,CFS,boat,f,f,nogo,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,10,6,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,82,NaN,NaN,NaN,NaN,EMPTY,EMPTY,7,2,,,NaN,NaN,43,44,crayon,7,CFS,74,60,191,Binocular,ethernet cable,j,j,nogo,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,1,5,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,83,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,89,72,sponge,7,Not Studied,80,26,52,CFS,camera,f,f,go,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,5,5,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,84,NaN,NaN,NaN,NaN,EMPTY,EMPTY,8,6,,,NaN,NaN,126,167,stove,7,Binocular,79,139,14,CFS,bobby pin,z,z,go,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,2,4,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,85,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,20,71,briefcase,8,Not Studied,96,18,39,Not Studied,box,f,f,go,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,2,2,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,86,NaN,NaN,NaN,NaN,EMPTY,EMPTY,6,8,,,NaN,NaN,119,7,pill,8,Binocular,95,107,64,Binocular,ring,z,z,go,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,4,5,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,87,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,39,18,mouse,8,Not Studied,89,7,119,Not Studied,battery,f,f,go,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,5,6,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,88,NaN,NaN,NaN,NaN,EMPTY,EMPTY,3,10,,,NaN,NaN,107,64,ring,8,Binocular,86,99,56,Binocular,saw,z,z,go,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,9,0,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,89,NaN,NaN,NaN,NaN,EMPTY,EMPTY,1,1,,,NaN,NaN,52,26,deoderant,8,CFS,94,39,18,Not Studied,mouse,j,j,go,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,7,7,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,90,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,80,50,sundial,8,Not Studied,93,88,40,Not Studied,spoon,f,f,nogo,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,4,7,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,91,NaN,NaN,NaN,NaN,EMPTY,EMPTY,1,5,,,NaN,NaN,88,40,spoon,8,Binocular,90,61,121,CFS,glass,z,z,go,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,5,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,92,NaN,NaN,NaN,NaN,EMPTY,EMPTY,10,6,,,NaN,NaN,7,119,battery,8,CFS,87,81,96,Binocular,stroller,j,j,go,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,1,10,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,93,NaN,NaN,NaN,NaN,EMPTY,EMPTY,6,5,,,NaN,NaN,99,56,saw,8,CFS,88,80,50,CFS,sundial,j,j,nogo,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,9,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,94,NaN,NaN,NaN,NaN,EMPTY,EMPTY,8,4,,,NaN,NaN,61,121,glass,8,Binocular,91,52,26,Binocular,deoderant,z,z,nogo,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,8,9,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,95,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,18,39,box,8,Not Studied,85,119,7,CFS,pill,f,f,go,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,2,10,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,96,NaN,NaN,NaN,NaN,EMPTY,EMPTY,3,6,,,NaN,NaN,81,96,stroller,8,CFS,92,20,71,CFS,briefcase,j,j,go,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,1,10,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
